Altium Designer Pick and Place Locations
C:\Users\Tom\Documents\CubesatEPS\hardware\BMS\Project Outputs for Cubesat_BMS\Pick Place for BMS.csv

========================================================================================================================
File Design Information:

Date:       28/01/26
Time:       21:24
Revision:   af1a98a7a3dd149e9cb7710349d17a77e7a53358
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation"
"R31","0603WAF6043T5E","TopLayer","RESC0603","75.8000","43.6500","180"
"R37","0603WAF2201T5E","TopLayer","RESC0603","7.6001","67.7997","180"
"D4","NCD0805R1","TopLayer","LEDR_0805","7.3000","69.6000","0"
"J3","0532610571","TopLayer","0532610571","45.0850","89.6500","180"
"U3","BQ7791500PWR","TopLayer","TSSOP-24","69.4000","44.5000","0"
"U2","TPS259474LRPWR","TopLayer","VFQFN-10","25.4500","58.5250","270"
"R36","0603WAF1004T5E","TopLayer","RESC0603","78.7000","47.6000","270"
"R35","0805W8F1003T5E","TopLayer","RESC0805","55.0005","60.7000","180"
"R34","0805W8F4703T5E","TopLayer","RESC0805","55.0005","62.5000","0"
"R33","0603WAF4701T5E","TopLayer","RESC0603","23.4500","61.7500","270"
"R32","0603WAF4702T5E","TopLayer","RESC0603","21.8000","61.7500","270"
"R30","0805W8F1002T5E","TopLayer","RESC0805","76.2000","41.6500","180"
"R29","0603WAF4703T5E","TopLayer","RESC0603","75.8245","39.8250","180"
"R28","TT6-10KC8-9-25","TopLayer","TT6-10KC8-9-25","45.2500","51.5000","90"
"R27","0805W8F1002T5E","TopLayer","RESC0805","47.2000","50.9750","90"
"R26","0603WAF1004T5E","TopLayer","RESC0603","83.2000","62.6406","270"
"R25","0603WAF1004T5E","TopLayer","RESC0603","83.2125","59.6229","270"
"R24","0603WAF1001T5E","TopLayer","RESC0603","84.8000","59.6250","90"
"R23","0603WAF4701T5E","TopLayer","RESC0603","72.3750","75.3500","90"
"R22","0603WAF1004T5E","TopLayer","RESC0603","74.0000","75.3250","270"
"R21","0603WAF1000T5E","TopLayer","RESC0603","64.6500","34.6250","90"
"R20","LVK12R010FER","TopLayer","LVK12R050CER-2","79.5500","78.9250","270"
"R19","0603WAF1000T5E","TopLayer","RESC0603","63.0500","34.6255","90"
"R18","0603WAF560JT5E","TopLayer","RESC0603","57.9250","37.4000","0"
"R17","0603WAF560JT5E","TopLayer","RESC0603","57.9000","42.4500","0"
"R16","0603WAF560JT5E","TopLayer","RESC0603","57.9500","45.7000","0"
"R15","0603WAF560JT5E","TopLayer","RESC0603","57.9005","48.9500","0"
"R2","0603WAF560JT5E","TopLayer","RESC0603","57.9750","52.2000","0"
"R1","0603WAF1001T5E","TopLayer","RESC0603","67.0000","51.1750","180"
"Q6","BSC026N08NS5","TopLayer","PG-TDSON-8-5","77.6000","63.2163","90"
"Q1","BSC026N08NS5","TopLayer","PG-TDSON-8-5","77.6000","72.3563","270"
"D3","BZT52C12T-7","TopLayer","SOD-523","81.6000","63.1406","90"
"D2","BAV20WS-7-F0","TopLayer","SOD-323","81.4244","59.9750","90"
"C35","CL32B106KBJNNNE","TopLayer","CAPC1210X090","6.7500","60.3750","270"
"C34","CC0603KRX7R9BB104","TopLayer","CAPC0603X040","66.2750","34.5000","90"
"C33","CC0603KRX7R9BB104","TopLayer","CAPC0603X040","63.8250","37.0250","0"
"C32","CC0603KRX7R9BB104","TopLayer","CAPC0603X040","61.4250","34.5000","270"
"C31","CL10A105KB8NNNC","TopLayer","CAPC0603X040","75.8000","45.4000","180"
"C30","CL10A105KB8NNNC","TopLayer","CAPC0603X040","67.1500","49.5250","180"
"C29","CL10A105KB8NNNC","TopLayer","CAPC0603X040","60.3000","38.3000","90"
"C28","CL10A105KB8NNNC","TopLayer","CAPC0603X040","60.3000","41.5500","90"
"C5","CL10A105KB8NNNC","TopLayer","CAPC0603X040","60.3000","44.8000","90"
"C4","CL10A105KB8NNNC","TopLayer","CAPC0603X040","60.3000","48.0500","90"
"C3","CL10A105KB8NNNC","TopLayer","CAPC0603X040","60.3708","51.1735","90"
"J1","LS2-110-01-L-D","TopLayer","LS2-110-01-L-D","8.0000","46.1175","270"
"MECH10","M3x0.5x8","TopLayer","M3_x_0.50p_x_8mm_Bolt","-50.0000","-50.0000","90"
"MECH9","M3x0.5x8","TopLayer","M3_x_0.50p_x_8mm_Bolt","-50.0000","-50.0000","0"
